Date,NASDAQ,AMZN,GOOG,MSFT
2008-06-02,2491.530029,80.230003,285.642181,27.799999
2008-06-03,2480.479980,80.110001,281.817047,27.309999
2008-06-04,2503.139893,81.500000,284.261169,27.540001
2008-06-05,2549.939941,84.510002,291.255676,28.299999
2008-06-06,2474.560059,80.629997,281.668030,27.490000
2008-06-09,2459.459961,79.430000,277.132507,27.709999
2008-06-10,2448.939941,79.620003,275.294464,27.889999
2008-06-11,2394.010010,77.279999,270.838470,27.120001
2008-06-12,2404.350098,76.150002,274.688416,28.240000
2008-06-13,2454.500000,79.169998,283.908447,29.070000
2008-06-16,2474.780029,81.699997,284.554260,28.930000
2008-06-17,2457.729980,82.970001,282.890076,28.799999
2008-06-18,2429.709961,82.519997,279.372955,28.459999
2008-06-19,2462.060059,84.260002,278.289978,28.930000
2008-06-20,2406.090088,81.099998,271.449493,28.230000
2008-06-23,2385.739990,80.680000,270.843414,27.969999
2008-06-24,2368.280029,79.639999,269.397827,27.730000
2008-06-25,2401.260010,80.510002,273.719727,28.350000
2008-06-26,2321.370117,76.300003,262.701385,27.750000
2008-06-27,2315.629883,74.660004,262.328796,27.629999
2008-06-30,2292.979980,73.330002,261.509125,27.510000
2008-07-01,2304.969971,73.620003,265.637299,26.870001
2008-07-02,2251.459961,71.440002,261.817139,25.879999
2008-07-03,2245.379883,72.000000,266.764954,25.980000
2008-07-07,2243.320068,72.489998,270.197632,26.030001
2008-07-08,2294.439941,75.040001,275.473297,25.850000
2008-07-09,2234.889893,70.610001,269.025238,25.230000
2008-07-10,2257.850098,70.629997,268.538422,25.450001
2008-07-11,2239.080078,68.540001,265.175293,25.250000
2008-07-14,2212.870117,66.279999,259.124634,25.150000
2008-07-15,2215.709961,67.029999,256.377502,26.150000
2008-07-16,2284.850098,71.839996,266.069489,27.260000
2008-07-17,2312.300049,72.110001,264.996460,27.520000
2008-07-18,2282.780029,69.120003,239.104858,25.860001
2008-07-21,2279.530029,68.480003,232.885300,25.639999
2008-07-22,2303.959961,67.970001,237.013458,25.799999
2008-07-23,2325.879883,70.540001,243.029327,26.430000
2008-07-24,2280.110107,78.720001,236.273270,25.440001
2008-07-25,2310.530029,78.309998,244.400406,26.160000
2008-07-28,2264.219971,75.980003,237.018417,25.500000
2008-07-29,2319.620117,78.209999,239.994064,26.110001
2008-07-30,2329.719971,78.209999,239.790390,26.230000
2008-07-31,2325.550049,76.339996,235.344315,25.719999
2008-08-01,2310.959961,75.750000,232.418350,25.440001
2008-08-04,2285.560059,75.709999,230.004044,25.280001
2008-08-05,2349.830078,79.110001,238.374603,26.209999
2008-08-06,2378.370117,78.089996,241.598633,27.020000
2008-08-07,2355.729980,76.949997,238.011963,27.389999
2008-08-08,2414.100098,80.510002,245.905624,28.129999
2008-08-11,2439.949951,88.089996,248.801788,27.900000
2008-08-12,2430.610107,87.250000,249.681061,28.120001
2008-08-13,2428.620117,86.690002,248.399399,27.910000
2008-08-14,2453.669922,88.029999,251.111755,27.910000
2008-08-15,2452.520020,86.400002,253.426697,27.809999
2008-08-18,2416.979980,83.110001,247.539993,27.690001
2008-08-19,2384.360107,81.290001,243.665192,27.320000
2008-08-20,2389.080078,82.129997,240.932968,27.290001
2008-08-21,2380.379883,83.260002,241.693024,27.180000
2008-08-22,2414.709961,85.260002,243.709900,27.840000
2008-08-25,2365.590088,82.849998,239.944397,27.660000
2008-08-26,2361.969971,81.760002,235.547989,27.270000
2008-08-27,2382.459961,81.730003,232.776016,27.559999
2008-08-28,2411.639893,83.419998,235.359222,27.940001
2008-08-29,2367.520020,80.809998,230.148102,27.290001
2008-09-02,2349.239990,81.410004,231.121780,27.100000
2008-09-03,2333.729980,80.769997,230.704483,26.900000
2008-09-04,2259.040039,78.029999,223.675201,26.350000
2008-09-05,2255.879883,79.190002,220.689621,25.650000
2008-09-08,2269.760010,81.160004,208.618134,26.120001
2008-09-09,2209.810059,79.040001,207.977310,26.100000
2008-09-10,2228.699951,76.739998,205.741852,26.440001
