Date,NASDAQ,AMZN,GOOG,MSFT
2007-01-31,2463.929932,37.669998,249.129654,30.860001
2007-02-28,2416.149902,39.139999,223.272827,28.170000
2007-03-30,2421.639893,39.790001,227.599686,27.870001
2007-04-30,2525.090088,61.330002,234.166977,29.940001
2007-05-31,2604.520020,69.139999,247.346252,30.690001
2007-06-29,2603.229980,68.410004,259.661163,29.469999
2007-07-31,2546.270020,78.540001,253.352188,28.990000
2007-08-31,2596.360107,79.910004,255.960220,28.730000
2007-09-28,2701.500000,93.150002,281.802155,29.459999
2007-10-31,2859.120117,89.150002,351.215668,36.810001
2007-11-30,2660.959961,90.559998,344.260925,33.599998
2007-12-31,2652.280029,92.639999,343.505829,35.599998
2008-01-31,2389.860107,77.699997,280.326752,32.599998
2008-02-29,2271.479980,64.470001,234.067612,27.200001
2008-03-31,2279.100098,71.300003,218.811844,28.379999
2008-04-30,2412.800049,78.629997,285.289459,28.520000
2008-05-30,2522.659912,81.620003,291.007263,28.320000
2008-06-30,2292.979980,73.330002,261.509125,27.510000
2008-07-31,2325.550049,76.339996,235.344315,25.719999
2008-08-29,2367.520020,80.809998,230.148102,27.290001
2008-09-30,2091.879883,72.760002,198.965912,26.690001
2008-10-31,1720.949951,57.240002,178.518906,22.330000
2008-11-28,1535.569946,42.700001,145.533447,20.219999
2008-12-31,1577.030029,51.279999,152.830978,19.440001
2009-01-30,1476.420044,58.820000,168.171204,17.100000
2009-02-27,1377.839966,64.790001,167.902954,16.150000
2009-03-31,1528.589966,73.440002,172.905411,18.370001
2009-04-30,1717.300049,80.519997,196.705612,20.260000
2009-05-29,1774.329956,77.989998,207.266922,20.889999
2009-06-30,1835.040039,83.660004,209.432846,23.770000
2009-07-31,1978.500000,85.760002,220.093506,23.520000
2009-08-31,2009.060059,81.190002,229.343338,24.650000
2009-09-30,2122.419922,93.360001,246.322906,25.719999
2009-10-30,2045.109985,118.809998,266.327789,27.730000
2009-11-30,2144.600098,135.910004,289.616333,29.410000
2009-12-31,2269.149902,134.520004,307.986847,30.480000
2010-01-29,2147.350098,125.410004,263.257751,28.180000
2010-02-26,2238.260010,118.400002,261.697906,28.670000
2010-03-31,2397.959961,135.770004,281.727631,29.290001
2010-04-30,2461.189941,137.100006,261.151459,30.540001
2010-05-28,2257.040039,125.459999,241.245926,25.799999
2010-06-30,2109.239990,109.260002,221.037369,23.010000
2010-07-30,2254.699951,117.889999,240.858444,25.809999
2010-08-31,2114.030029,124.830002,223.555984,23.469999
2010-09-30,2368.620117,157.059998,261.196167,24.490000
2010-10-29,2507.409912,165.229996,304.867126,26.670000
2010-11-30,2498.229980,175.399994,276.059509,25.260000
2010-12-31,2652.870117,180.000000,295.065887,27.910000
2011-01-31,2700.080078,169.639999,298.240234,27.730000
2011-02-28,2782.270020,173.289993,304.718109,26.580000
2011-03-31,2781.070068,180.130005,291.484161,25.389999
2011-04-29,2873.540039,195.809998,270.292023,25.920000
2011-05-31,2835.300049,196.690002,262.800720,25.010000
2011-06-30,2773.520020,204.490005,251.553879,26.000000
2011-07-29,2756.379883,222.520004,299.894470,27.400000
2011-08-31,2579.459961,215.229996,268.732147,26.600000
2011-09-30,2415.399902,216.229996,255.855911,24.889999
2011-10-31,2684.409912,213.509995,294.405182,26.629999
2011-11-30,2620.340088,192.289993,297.758362,25.580000
2011-12-30,2605.149902,173.100006,320.863098,25.959999
2012-01-31,2813.840088,194.440002,288.180664,29.530001
2012-02-29,2966.889893,179.690002,307.127441,31.740000
2012-03-30,3091.570068,202.509995,318.548157,32.259998
2012-04-30,3046.360107,231.899994,300.470734,32.020000
2012-05-31,2827.340088,212.910004,288.553253,29.190001
2012-06-29,2935.050049,228.350006,288.160797,30.590000
2012-07-31,2939.520020,233.300003,314.439880,29.469999
2012-08-31,3066.959961,248.270004,340.331482,30.820000
2012-09-28,3116.229980,254.320007,374.812195,29.760000
2012-10-31,2977.229980,232.889999,337.951935,28.540001
2012-11-30,3010.239990,252.050003,346.928558,26.620001
2012-12-31,3019.510010,250.869995,351.404449,26.709999
2013-01-31,3142.129883,265.500000,375.403351,27.450001
2013-02-28,3160.189941,264.269989,398.011322,27.799999
2013-03-28,3267.520020,266.489990,394.528961,28.610001
2013-04-30,3328.790039,253.809998,409.620819,33.099998
2013-05-31,3455.909912,269.200012,432.795074,34.900002
2013-06-28,3403.250000,277.690002,437.340515,34.540001
2013-07-31,3626.370117,301.220001,441.006683,31.840000
2013-08-30,3589.870117,280.980011,420.713654,33.400002
2013-09-30,3771.479980,312.640015,435.124939,33.279999
2013-10-31,3919.709961,364.029999,511.960205,35.410000
2013-11-29,4059.889893,393.619995,526.371460,38.130001
2013-12-31,4176.589844,398.790009,556.734009,37.410000
2014-01-31,4103.879883,358.690002,586.669312,37.840000
2014-02-28,4308.120117,362.100006,603.897217,38.310001
2014-03-31,4198.990234,336.369995,553.924255,40.990002
2014-04-30,4114.560059,304.130005,523.779968,40.400002
2014-05-30,4242.620117,312.549988,556.828247,40.939999
2014-06-30,4408.180176,324.779999,572.134094,41.700001
2014-07-31,4369.770020,312.989990,568.474243,43.160000
2014-08-29,4580.270020,339.040009,568.474243,45.430000
2014-09-30,4493.390137,322.440002,574.202698,46.360001
2014-10-31,4630.740234,305.459991,556.022705,46.950001
2014-11-28,4791.629883,338.640015,538.867004,47.810001
2014-12-31,4736.049805,310.350006,523.521423,46.450001
2015-01-30,4635.240234,354.529999,531.594604,40.400002
2015-02-27,4963.529785,380.160004,555.343933,43.849998
2015-03-31,4900.879883,372.100006,545.000854,40.660000
2015-04-30,4941.419922,421.779999,537.340027,48.639999
2015-05-29,5070.029785,429.230011,532.109985,46.860001
2015-06-30,4986.870117,434.089996,520.510010,44.150002
2015-07-31,5128.279785,536.150024,625.609985,46.700001
2015-08-31,4776.509766,512.890015,618.250000,43.520000
